account_id,account_external_id,account_name,parent_account_id,segment,industry,sales_region,country_code,employee_band,annual_revenue_band,customer_status
29,ACC-0029,Meridian Industrial,,enterprise,Third-Party Logistics,na,MX,1000-4999,$250M-$1B,prospect
30,ACC-0030,Apex Logistics,,strategic,Logistics,latam,CO,5000+,$1B+,prospect
31,ACC-0031,Bluewave Supply Co,,strategic,Manufacturing,emea,DE,5000+,$1B+,customer
32,ACC-0032,Ironwood Commerce Partners,,mid_market,Retail,emea,NL,250-999,$50M-$250M,customer
33,ACC-0033,Crescent Operations,,smb,Consumer Goods,apac,AU,50-249,$10M-$50M,prospect
34,ACC-0034,Pioneer Distribution,,smb,Automotive,apac,JP,50-249,$10M-$50M,customer
35,ACC-0035,Vector Cargo Systems,,mid_market,Industrial Equipment,apac,IN,250-999,$50M-$250M,prospect
36,ACC-0036,Northstar Retail Holdings,,enterprise,Pharma,emea,DE,1000-4999,$250M-$1B,customer
37,ACC-0037,Harbor Trade Group,,enterprise,Food & Beverage,apac,AU,1000-4999,$250M-$1B,customer
38,ACC-0038,Atlas Global Freight,,smb,Freight Brokerage,latam,CO,50-249,$10M-$50M,prospect
39,ACC-0039,Summit Industrial,,smb,Third-Party Logistics,na,US,50-249,$10M-$50M,customer
40,ACC-0040,Granite Logistics,,strategic,Logistics,na,CA,5000+,$1B+,customer
41,ACC-0041,Meridian Supply Co,,smb,Manufacturing,apac,AU,50-249,$10M-$50M,customer
42,ACC-0042,Apex Commerce Partners,,smb,Retail,latam,CO,50-249,$10M-$50M,prospect
43,ACC-0043,Bluewave Operations,,smb,Consumer Goods,latam,PE,50-249,$10M-$50M,customer
44,ACC-0044,Ironwood Distribution,,strategic,Automotive,na,MX,5000+,$1B+,customer
45,ACC-0045,Crescent Cargo Systems,,enterprise,Industrial Equipment,na,US,1000-4999,$250M-$1B,customer
46,ACC-0046,Pioneer Retail Holdings,,mid_market,Pharma,na,CA,250-999,$50M-$250M,prospect
47,ACC-0047,Vector Trade Group,,enterprise,Food & Beverage,apac,IN,1000-4999,$250M-$1B,customer
48,ACC-0048,Northstar Global Freight,,smb,Freight Brokerage,na,US,50-249,$10M-$50M,former_customer
49,ACC-0049,Harbor Industrial,,smb,Third-Party Logistics,emea,AE,50-249,$10M-$50M,prospect
50,ACC-0050,Atlas Logistics,,strategic,Logistics,apac,JP,5000+,$1B+,customer
51,ACC-0051,Summit Supply Co,,smb,Manufacturing,na,US,50-249,$10M-$50M,prospect
52,ACC-0052,Granite Commerce Partners,,smb,Retail,apac,SG,50-249,$10M-$50M,customer
53,ACC-0053,Meridian Operations,,strategic,Consumer Goods,emea,FR,5000+,$1B+,former_customer
54,ACC-0054,Apex Distribution,,smb,Automotive,na,US,50-249,$10M-$50M,prospect
55,ACC-0055,Bluewave Cargo Systems,,mid_market,Industrial Equipment,apac,IN,250-999,$50M-$250M,customer
56,ACC-0056,Ironwood Retail Holdings,,strategic,Pharma,na,MX,5000+,$1B+,prospect
57,ACC-0057,Crescent Trade Group,,smb,Food & Beverage,na,US,50-249,$10M-$50M,prospect
58,ACC-0058,Pioneer Global Freight,,enterprise,Freight Brokerage,apac,JP,1000-4999,$250M-$1B,customer
59,ACC-0059,Vector Industrial,,smb,Third-Party Logistics,emea,AE,50-249,$10M-$50M,prospect
60,ACC-0060,Northstar Logistics,,enterprise,Logistics,emea,GB,1000-4999,$250M-$1B,customer
61,ACC-0061,Harbor Supply Co,,enterprise,Manufacturing,emea,DE,1000-4999,$250M-$1B,prospect
62,ACC-0062,Atlas Commerce Partners,,mid_market,Retail,emea,NL,250-999,$50M-$250M,prospect
63,ACC-0063,Summit Operations,,mid_market,Consumer Goods,na,US,250-999,$50M-$250M,prospect
64,ACC-0064,Granite Distribution,,enterprise,Automotive,emea,AE,1000-4999,$250M-$1B,prospect
65,ACC-0065,Meridian Cargo Systems,,smb,Industrial Equipment,na,MX,50-249,$10M-$50M,prospect
66,ACC-0066,Apex Retail Holdings,,smb,Pharma,na,US,50-249,$10M-$50M,customer
67,ACC-0067,Bluewave Trade Group,,smb,Food & Beverage,emea,NL,50-249,$10M-$50M,customer
68,ACC-0068,Ironwood Global Freight,,mid_market,Freight Brokerage,emea,FR,250-999,$50M-$250M,customer
69,ACC-0069,Crescent Industrial,,smb,Third-Party Logistics,latam,CL,50-249,$10M-$50M,prospect
70,ACC-0070,Pioneer Logistics,,strategic,Logistics,na,CA,5000+,$1B+,customer
71,ACC-0071,Vector Supply Co,,enterprise,Manufacturing,apac,IN,1000-4999,$250M-$1B,customer
72,ACC-0072,Northstar Commerce Partners,,strategic,Retail,apac,SG,5000+,$1B+,customer
73,ACC-0073,Harbor Operations,,smb,Consumer Goods,na,CA,50-249,$10M-$50M,customer
74,ACC-0074,Atlas Distribution,,enterprise,Automotive,na,MX,1000-4999,$250M-$1B,prospect
75,ACC-0075,Summit Cargo Systems,,mid_market,Industrial Equipment,apac,IN,250-999,$50M-$250M,prospect
76,ACC-0076,Granite Retail Holdings,,smb,Pharma,emea,DE,50-249,$10M-$50M,former_customer
77,ACC-0077,Meridian Trade Group,,smb,Food & Beverage,emea,NL,50-249,$10M-$50M,prospect
78,ACC-0078,Apex Global Freight,,smb,Freight Brokerage,na,US,50-249,$10M-$50M,prospect
79,ACC-0079,Bluewave Industrial,,enterprise,Third-Party Logistics,apac,IN,1000-4999,$250M-$1B,prospect
80,ACC-0080,Ironwood Logistics,,mid_market,Logistics,apac,SG,250-999,$50M-$250M,prospect
81,ACC-0081,Crescent Supply Co,,mid_market,Manufacturing,latam,CL,250-999,$50M-$250M,customer
82,ACC-0082,Pioneer Commerce Partners,,enterprise,Retail,na,CA,1000-4999,$250M-$1B,prospect
83,ACC-0083,Vector Operations,,mid_market,Consumer Goods,emea,FR,250-999,$50M-$250M,prospect
84,ACC-0084,Northstar Distribution,,enterprise,Automotive,na,US,1000-4999,$250M-$1B,customer
85,ACC-0085,Harbor Cargo Systems,,smb,Industrial Equipment,emea,GB,50-249,$10M-$50M,customer
86,ACC-0086,Atlas Retail Holdings,,smb,Pharma,emea,DE,50-249,$10M-$50M,customer
87,ACC-0087,Summit Trade Group,,mid_market,Food & Beverage,na,US,250-999,$50M-$250M,customer
88,ACC-0088,Granite Global Freight,,mid_market,Freight Brokerage,na,CA,250-999,$50M-$250M,prospect
89,ACC-0089,Meridian Industrial,,smb,Third-Party Logistics,apac,AU,50-249,$10M-$50M,prospect
90,ACC-0090,Apex Logistics,,smb,Logistics,apac,JP,50-249,$10M-$50M,prospect
91,ACC-0091,Bluewave Supply Co,,strategic,Manufacturing,na,CA,5000+,$1B+,customer
92,ACC-0092,Ironwood Commerce Partners,,strategic,Retail,na,MX,5000+,$1B+,customer
93,ACC-0093,Crescent Operations,,smb,Consumer Goods,emea,FR,50-249,$10M-$50M,customer
94,ACC-0094,Pioneer Distribution,,smb,Automotive,apac,JP,50-249,$10M-$50M,prospect
95,ACC-0095,Vector Cargo Systems,,mid_market,Industrial Equipment,emea,GB,250-999,$50M-$250M,prospect
96,ACC-0096,Northstar Retail Holdings,,enterprise,Pharma,emea,DE,1000-4999,$250M-$1B,customer
97,ACC-0097,Harbor Trade Group,,enterprise,Food & Beverage,na,CA,1000-4999,$250M-$1B,customer
98,ACC-0098,Atlas Global Freight,,enterprise,Freight Brokerage,apac,JP,1000-4999,$250M-$1B,prospect
99,ACC-0099,Summit Industrial,,smb,Third-Party Logistics,na,US,50-249,$10M-$50M,customer
100,ACC-0100,Granite Logistics,,smb,Logistics,latam,BR,50-249,$10M-$50M,prospect
101,ACC-0101,Meridian Supply Co,,smb,Manufacturing,latam,CL,50-249,$10M-$50M,prospect
102,ACC-0102,Apex Commerce Partners,,strategic,Retail,emea,NL,5000+,$1B+,former_customer
103,ACC-0103,Bluewave Operations,,enterprise,Consumer Goods,na,CA,1000-4999,$250M-$1B,prospect
104,ACC-0104,Ironwood Distribution,,smb,Automotive,apac,SG,50-249,$10M-$50M,prospect
105,ACC-0105,Crescent Cargo Systems,,mid_market,Industrial Equipment,na,US,250-999,$50M-$250M,prospect
106,ACC-0106,Pioneer Retail Holdings,,enterprise,Pharma,emea,DE,1000-4999,$250M-$1B,customer
107,ACC-0107,Vector Trade Group,,enterprise,Food & Beverage,apac,IN,1000-4999,$250M-$1B,customer
108,ACC-0108,Northstar Global Freight,,mid_market,Freight Brokerage,latam,BR,250-999,$50M-$250M,prospect
109,ACC-0109,Harbor Industrial,,enterprise,Third-Party Logistics,emea,AE,1000-4999,$250M-$1B,prospect
110,ACC-0110,Atlas Logistics,,mid_market,Logistics,apac,JP,250-999,$50M-$250M,customer
111,ACC-0111,Summit Supply Co,,smb,Manufacturing,na,US,50-249,$10M-$50M,customer
112,ACC-0112,Granite Commerce Partners,,enterprise,Retail,na,CA,1000-4999,$250M-$1B,former_customer
113,ACC-0113,Meridian Operations,,smb,Consumer Goods,emea,FR,50-249,$10M-$50M,former_customer
114,ACC-0114,Apex Distribution,,enterprise,Automotive,emea,AE,1000-4999,$250M-$1B,customer
115,ACC-0115,Bluewave Cargo Systems,,mid_market,Industrial Equipment,na,CA,250-999,$50M-$250M,former_customer
116,ACC-0116,Ironwood Retail Holdings,,mid_market,Pharma,emea,DE,250-999,$50M-$250M,customer
117,ACC-0117,Crescent Trade Group,,mid_market,Food & Beverage,na,US,250-999,$50M-$250M,prospect
118,ACC-0118,Pioneer Global Freight,,smb,Freight Brokerage,na,CA,50-249,$10M-$50M,prospect
119,ACC-0119,Vector Industrial,,mid_market,Third-Party Logistics,apac,IN,250-999,$50M-$250M,prospect
120,ACC-0120,Northstar Logistics,,mid_market,Logistics,emea,GB,250-999,$50M-$250M,customer
121,ACC-0121,Harbor Supply Co,,mid_market,Manufacturing,emea,DE,250-999,$50M-$250M,customer
122,ACC-0122,Atlas Commerce Partners,,smb,Retail,na,MX,50-249,$10M-$50M,customer
123,ACC-0123,Summit Operations,,mid_market,Consumer Goods,na,US,250-999,$50M-$250M,customer
124,ACC-0124,Granite Distribution,,mid_market,Automotive,na,CA,250-999,$50M-$250M,customer
125,ACC-0125,Meridian Cargo Systems,,enterprise,Industrial Equipment,na,MX,1000-4999,$250M-$1B,customer
126,ACC-0126,Apex Retail Holdings,,mid_market,Pharma,na,US,250-999,$50M-$250M,former_customer
127,ACC-0127,Bluewave Trade Group,,smb,Food & Beverage,na,CA,50-249,$10M-$50M,customer
128,ACC-0128,Ironwood Global Freight,,mid_market,Freight Brokerage,apac,SG,250-999,$50M-$250M,prospect
129,ACC-0129,Crescent Industrial,,smb,Third-Party Logistics,emea,AE,50-249,$10M-$50M,prospect
130,ACC-0130,Pioneer Logistics,,mid_market,Logistics,latam,CO,250-999,$50M-$250M,former_customer
131,ACC-0131,Vector Supply Co,,smb,Manufacturing,na,MX,50-249,$10M-$50M,customer
132,ACC-0132,Northstar Commerce Partners,,smb,Retail,na,US,50-249,$10M-$50M,prospect
133,ACC-0133,Harbor Operations,,smb,Consumer Goods,apac,AU,50-249,$10M-$50M,customer
134,ACC-0134,Atlas Distribution,,enterprise,Automotive,emea,AE,1000-4999,$250M-$1B,customer
135,ACC-0135,Summit Cargo Systems,,mid_market,Industrial Equipment,apac,IN,250-999,$50M-$250M,prospect
136,ACC-0136,Granite Retail Holdings,,strategic,Pharma,na,CA,5000+,$1B+,prospect
137,ACC-0137,Meridian Trade Group,,smb,Food & Beverage,emea,NL,50-249,$10M-$50M,prospect
138,ACC-0138,Apex Global Freight,,mid_market,Freight Brokerage,latam,CO,250-999,$50M-$250M,customer
139,ACC-0139,Bluewave Industrial,,strategic,Third-Party Logistics,na,CA,5000+,$1B+,customer
140,ACC-0140,Ironwood Logistics,,enterprise,Logistics,apac,SG,1000-4999,$250M-$1B,customer
141,ACC-0141,Crescent Supply Co,,strategic,Manufacturing,na,US,5000+,$1B+,prospect
142,ACC-0142,Pioneer Commerce Partners,,smb,Retail,na,CA,50-249,$10M-$50M,prospect
143,ACC-0143,Vector Operations,,smb,Consumer Goods,na,MX,50-249,$10M-$50M,customer
144,ACC-0144,Northstar Distribution,,enterprise,Automotive,na,US,1000-4999,$250M-$1B,customer
145,ACC-0145,Harbor Cargo Systems,,smb,Industrial Equipment,na,CA,50-249,$10M-$50M,prospect
146,ACC-0146,Atlas Retail Holdings,,mid_market,Pharma,na,MX,250-999,$50M-$250M,prospect
147,ACC-0147,Summit Trade Group,,enterprise,Food & Beverage,na,US,1000-4999,$250M-$1B,prospect
148,ACC-0148,Granite Global Freight,,enterprise,Freight Brokerage,emea,FR,1000-4999,$250M-$1B,prospect
149,ACC-0149,Meridian Industrial,,smb,Third-Party Logistics,na,MX,50-249,$10M-$50M,prospect
150,ACC-0150,Apex Logistics,,enterprise,Logistics,apac,JP,1000-4999,$250M-$1B,prospect
151,ACC-0151,Bluewave Supply Co,,mid_market,Manufacturing,na,CA,250-999,$50M-$250M,prospect
152,ACC-0152,Ironwood Commerce Partners,,smb,Retail,latam,BR,50-249,$10M-$50M,prospect
153,ACC-0153,Crescent Operations,,smb,Consumer Goods,apac,AU,50-249,$10M-$50M,prospect
154,ACC-0154,Pioneer Distribution,,smb,Automotive,latam,CO,50-249,$10M-$50M,customer
155,ACC-0155,Vector Cargo Systems,,mid_market,Industrial Equipment,na,MX,250-999,$50M-$250M,prospect
156,ACC-0156,Northstar Retail Holdings,,mid_market,Pharma,na,US,250-999,$50M-$250M,customer
157,ACC-0157,Harbor Trade Group,,strategic,Food & Beverage,na,CA,5000+,$1B+,customer
158,ACC-0158,Atlas Global Freight,,smb,Freight Brokerage,na,MX,50-249,$10M-$50M,prospect
159,ACC-0159,Summit Industrial,,smb,Third-Party Logistics,apac,IN,50-249,$10M-$50M,prospect
160,ACC-0160,Granite Logistics,,smb,Logistics,apac,SG,50-249,$10M-$50M,customer
161,ACC-0161,Meridian Supply Co,,enterprise,Manufacturing,apac,AU,1000-4999,$250M-$1B,prospect
162,ACC-0162,Apex Commerce Partners,,mid_market,Retail,na,US,250-999,$50M-$250M,prospect
163,ACC-0163,Bluewave Operations,,enterprise,Consumer Goods,emea,FR,1000-4999,$250M-$1B,customer
164,ACC-0164,Ironwood Distribution,,mid_market,Automotive,emea,AE,250-999,$50M-$250M,prospect
165,ACC-0165,Crescent Cargo Systems,,enterprise,Industrial Equipment,emea,GB,1000-4999,$250M-$1B,customer
166,ACC-0166,Pioneer Retail Holdings,,strategic,Pharma,emea,DE,5000+,$1B+,prospect
167,ACC-0167,Vector Trade Group,,smb,Food & Beverage,latam,PE,50-249,$10M-$50M,customer
168,ACC-0168,Northstar Global Freight,,enterprise,Freight Brokerage,emea,FR,1000-4999,$250M-$1B,customer
169,ACC-0169,Harbor Industrial,,mid_market,Third-Party Logistics,na,CA,250-999,$50M-$250M,customer
170,ACC-0170,Atlas Logistics,,smb,Logistics,na,MX,50-249,$10M-$50M,prospect
171,ACC-0171,Summit Supply Co,,enterprise,Manufacturing,emea,DE,1000-4999,$250M-$1B,prospect
172,ACC-0172,Granite Commerce Partners,,smb,Retail,na,CA,50-249,$10M-$50M,prospect
173,ACC-0173,Meridian Operations,,smb,Consumer Goods,emea,FR,50-249,$10M-$50M,customer
174,ACC-0174,Apex Distribution,,enterprise,Automotive,apac,JP,1000-4999,$250M-$1B,customer
175,ACC-0175,Bluewave Cargo Systems,,mid_market,Industrial Equipment,na,CA,250-999,$50M-$250M,customer
176,ACC-0176,Ironwood Retail Holdings,,smb,Pharma,apac,SG,50-249,$10M-$50M,former_customer
177,ACC-0177,Crescent Trade Group,,enterprise,Food & Beverage,emea,NL,1000-4999,$250M-$1B,prospect
178,ACC-0178,Pioneer Global Freight,,smb,Freight Brokerage,na,CA,50-249,$10M-$50M,prospect
179,ACC-0179,Vector Industrial,,enterprise,Third-Party Logistics,apac,IN,1000-4999,$250M-$1B,prospect
180,ACC-0180,Northstar Logistics,,mid_market,Logistics,na,US,250-999,$50M-$250M,former_customer
181,ACC-0181,Harbor Supply Co,,strategic,Manufacturing,latam,CL,5000+,$1B+,prospect
182,ACC-0182,Atlas Commerce Partners,,smb,Retail,na,MX,50-249,$10M-$50M,customer
183,ACC-0183,Summit Operations,,mid_market,Consumer Goods,apac,IN,250-999,$50M-$250M,prospect
184,ACC-0184,Granite Distribution,,mid_market,Automotive,apac,SG,250-999,$50M-$250M,prospect
185,ACC-0185,Meridian Cargo Systems,,strategic,Industrial Equipment,na,MX,5000+,$1B+,former_customer
186,ACC-0186,Apex Retail Holdings,,smb,Pharma,na,US,50-249,$10M-$50M,customer
187,ACC-0187,Bluewave Trade Group,,strategic,Food & Beverage,na,CA,5000+,$1B+,customer
188,ACC-0188,Ironwood Global Freight,,enterprise,Freight Brokerage,na,MX,1000-4999,$250M-$1B,customer
189,ACC-0189,Crescent Industrial,,smb,Third-Party Logistics,na,US,50-249,$10M-$50M,prospect
190,ACC-0190,Pioneer Logistics,,enterprise,Logistics,apac,JP,1000-4999,$250M-$1B,former_customer
191,ACC-0191,Vector Supply Co,,smb,Manufacturing,na,MX,50-249,$10M-$50M,former_customer
192,ACC-0192,Northstar Commerce Partners,,enterprise,Retail,latam,BR,1000-4999,$250M-$1B,prospect
193,ACC-0193,Harbor Operations,,smb,Consumer Goods,emea,FR,50-249,$10M-$50M,prospect
194,ACC-0194,Atlas Distribution,,enterprise,Automotive,emea,AE,1000-4999,$250M-$1B,customer
195,ACC-0195,Summit Cargo Systems,,mid_market,Industrial Equipment,apac,IN,250-999,$50M-$250M,customer
196,ACC-0196,Granite Retail Holdings,,enterprise,Pharma,na,CA,1000-4999,$250M-$1B,customer
197,ACC-0197,Meridian Trade Group,,smb,Food & Beverage,na,MX,50-249,$10M-$50M,prospect
198,ACC-0198,Apex Global Freight,,enterprise,Freight Brokerage,na,US,1000-4999,$250M-$1B,customer
199,ACC-0199,Bluewave Industrial,,enterprise,Third-Party Logistics,na,CA,1000-4999,$250M-$1B,customer
200,ACC-0200,Ironwood Logistics,,smb,Logistics,latam,BR,50-249,$10M-$50M,prospect
201,ACC-0201,Crescent Supply Co,,smb,Manufacturing,na,US,50-249,$10M-$50M,prospect
202,ACC-0202,Pioneer Commerce Partners,,smb,Retail,na,CA,50-249,$10M-$50M,prospect
203,ACC-0203,Vector Operations,,mid_market,Consumer Goods,na,MX,250-999,$50M-$250M,prospect
204,ACC-0204,Northstar Distribution,,smb,Automotive,na,US,50-249,$10M-$50M,prospect
205,ACC-0205,Harbor Cargo Systems,,enterprise,Industrial Equipment,na,CA,1000-4999,$250M-$1B,prospect
206,ACC-0206,Atlas Retail Holdings,,enterprise,Pharma,na,MX,1000-4999,$250M-$1B,prospect
207,ACC-0207,Summit Trade Group,,strategic,Food & Beverage,apac,IN,5000+,$1B+,customer
208,ACC-0208,Granite Global Freight,,smb,Freight Brokerage,emea,FR,50-249,$10M-$50M,customer
209,ACC-0209,Meridian Industrial,,mid_market,Third-Party Logistics,na,MX,250-999,$50M-$250M,customer
210,ACC-0210,Apex Logistics,,smb,Logistics,apac,JP,50-249,$10M-$50M,prospect
211,ACC-0211,Bluewave Supply Co,,enterprise,Manufacturing,na,CA,1000-4999,$250M-$1B,customer
212,ACC-0212,Ironwood Commerce Partners,,mid_market,Retail,na,MX,250-999,$50M-$250M,customer
213,ACC-0213,Crescent Operations,,strategic,Consumer Goods,na,US,5000+,$1B+,customer
214,ACC-0214,Pioneer Distribution,,enterprise,Automotive,na,CA,1000-4999,$250M-$1B,customer
215,ACC-0215,Vector Cargo Systems,,smb,Industrial Equipment,emea,GB,50-249,$10M-$50M,prospect
216,ACC-0216,Northstar Retail Holdings,,enterprise,Pharma,emea,DE,1000-4999,$250M-$1B,customer
217,ACC-0217,Harbor Trade Group,,smb,Food & Beverage,emea,NL,50-249,$10M-$50M,customer
218,ACC-0218,Atlas Global Freight,,strategic,Freight Brokerage,na,MX,5000+,$1B+,customer
219,ACC-0219,Summit Industrial,,enterprise,Third-Party Logistics,latam,PE,1000-4999,$250M-$1B,customer
220,ACC-0220,Granite Logistics,,smb,Logistics,emea,GB,50-249,$10M-$50M,prospect
221,ACC-0221,Meridian Supply Co,,smb,Manufacturing,apac,AU,50-249,$10M-$50M,customer
222,ACC-0222,Apex Commerce Partners,,strategic,Retail,na,US,5000+,$1B+,customer
223,ACC-0223,Bluewave Operations,,enterprise,Consumer Goods,emea,FR,1000-4999,$250M-$1B,customer
224,ACC-0224,Ironwood Distribution,,smb,Automotive,emea,AE,50-249,$10M-$50M,customer
225,ACC-0225,Crescent Cargo Systems,,smb,Industrial Equipment,emea,GB,50-249,$10M-$50M,customer
226,ACC-0226,Pioneer Retail Holdings,,smb,Pharma,na,CA,50-249,$10M-$50M,former_customer
227,ACC-0227,Vector Trade Group,,smb,Food & Beverage,emea,NL,50-249,$10M-$50M,customer
228,ACC-0228,Northstar Global Freight,,smb,Freight Brokerage,emea,FR,50-249,$10M-$50M,former_customer
229,ACC-0229,Harbor Industrial,,smb,Third-Party Logistics,emea,AE,50-249,$10M-$50M,customer
230,ACC-0230,Atlas Logistics,,smb,Logistics,emea,GB,50-249,$10M-$50M,customer
231,ACC-0231,Summit Supply Co,,mid_market,Manufacturing,apac,IN,250-999,$50M-$250M,customer
232,ACC-0232,Granite Commerce Partners,,mid_market,Retail,na,CA,250-999,$50M-$250M,customer
233,ACC-0233,Meridian Operations,,mid_market,Consumer Goods,emea,FR,250-999,$50M-$250M,customer
234,ACC-0234,Apex Distribution,,smb,Automotive,na,US,50-249,$10M-$50M,customer
235,ACC-0235,Bluewave Cargo Systems,,enterprise,Industrial Equipment,na,CA,1000-4999,$250M-$1B,customer
236,ACC-0236,Ironwood Retail Holdings,,smb,Pharma,latam,BR,50-249,$10M-$50M,customer
237,ACC-0237,Crescent Trade Group,,enterprise,Food & Beverage,apac,AU,1000-4999,$250M-$1B,customer
238,ACC-0238,Pioneer Global Freight,,mid_market,Freight Brokerage,emea,FR,250-999,$50M-$250M,prospect
239,ACC-0239,Vector Industrial,,mid_market,Third-Party Logistics,emea,AE,250-999,$50M-$250M,prospect
240,ACC-0240,Northstar Logistics,,enterprise,Logistics,latam,BR,1000-4999,$250M-$1B,customer
241,ACC-0241,Harbor Supply Co,,enterprise,Manufacturing,na,CA,1000-4999,$250M-$1B,customer
242,ACC-0242,Atlas Commerce Partners,,mid_market,Retail,latam,CO,250-999,$50M-$250M,prospect
243,ACC-0243,Summit Operations,,smb,Consumer Goods,na,US,50-249,$10M-$50M,customer
244,ACC-0244,Granite Distribution,,smb,Automotive,na,CA,50-249,$10M-$50M,customer
245,ACC-0245,Meridian Cargo Systems,,smb,Industrial Equipment,na,MX,50-249,$10M-$50M,customer
246,ACC-0246,Apex Retail Holdings,,mid_market,Pharma,latam,CO,250-999,$50M-$250M,customer
247,ACC-0247,Bluewave Trade Group,,smb,Food & Beverage,na,CA,50-249,$10M-$50M,prospect
248,ACC-0248,Ironwood Global Freight,,enterprise,Freight Brokerage,emea,FR,1000-4999,$250M-$1B,customer
249,ACC-0249,Crescent Industrial,,smb,Third-Party Logistics,emea,AE,50-249,$10M-$50M,customer
250,ACC-0250,Pioneer Logistics,,mid_market,Logistics,na,CA,250-999,$50M-$250M,prospect
251,ACC-0251,Vector Supply Co,,smb,Manufacturing,latam,PE,50-249,$10M-$50M,customer
252,ACC-0252,Northstar Commerce Partners,,strategic,Retail,na,US,5000+,$1B+,customer
253,ACC-0253,Harbor Operations,,smb,Consumer Goods,na,CA,50-249,$10M-$50M,customer
254,ACC-0254,Atlas Distribution,,mid_market,Automotive,latam,CO,250-999,$50M-$250M,former_customer
255,ACC-0255,Summit Cargo Systems,,mid_market,Industrial Equipment,na,US,250-999,$50M-$250M,prospect
256,ACC-0256,Granite Retail Holdings,,mid_market,Pharma,emea,DE,250-999,$50M-$250M,former_customer
257,ACC-0257,Meridian Trade Group,,mid_market,Food & Beverage,latam,CL,250-999,$50M-$250M,customer
258,ACC-0258,Apex Global Freight,,mid_market,Freight Brokerage,na,US,250-999,$50M-$250M,former_customer
259,ACC-0259,Bluewave Industrial,,smb,Third-Party Logistics,na,CA,50-249,$10M-$50M,customer
260,ACC-0260,Ironwood Logistics,,mid_market,Logistics,emea,GB,250-999,$50M-$250M,prospect
261,ACC-0261,Crescent Supply Co,,mid_market,Manufacturing,emea,DE,250-999,$50M-$250M,customer
262,ACC-0262,Pioneer Commerce Partners,,enterprise,Retail,na,CA,1000-4999,$250M-$1B,prospect
263,ACC-0263,Vector Operations,,strategic,Consumer Goods,na,MX,5000+,$1B+,customer
264,ACC-0264,Northstar Distribution,,smb,Automotive,na,US,50-249,$10M-$50M,customer
265,ACC-0265,Harbor Cargo Systems,,enterprise,Industrial Equipment,emea,GB,1000-4999,$250M-$1B,customer
