opportunity_id,outcome,primary_loss_reason,primary_win_reason,loss_reason_detail,decision_process_notes,champion_strength,procurement_friction_flag,competitor_capture_completeness,record_completeness_score
46,lost,price,,,,mixed,false,low,0.37
47,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.91
48,lost,,,,late-stage decision path remained fuzzy,mixed,true,high,0.5
49,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,low,0.5
50,lost,,,project paused after steering committee could not commit,,unknown,false,low,0.42
51,lost,,,,,strong,false,low,0.4
52,lost,weak_champion_internal_politics,,,,mixed,true,medium,0.54
53,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,true,medium,0.48
54,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.49
55,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,strong,false,low,0.32
56,lost,budget,,budget shifted to warehouse modernization workstream,,strong,false,medium,0.48
57,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,high,0.96
58,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,medium,0.89
59,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,low,0.44
60,lost,timing,,timeline slipped and rollout moved into next planning cycle,,strong,false,low,0.53
61,lost,procurement_legal_friction,,,,mixed,false,medium,0.61
62,won,,Executive alignment and stronger services plan,,,strong,false,medium,0.91
63,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,medium,0.96
64,lost,product_gap,,,,unknown,false,low,0.51
65,lost,budget,,budget shifted to warehouse modernization workstream,,mixed,false,low,0.45
66,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,mixed,false,medium,0.42
67,lost,price,,pricing came in above internal threshold after procurement review,,mixed,true,low,0.45
68,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,unknown,false,medium,0.38
69,won,,Better analytics vision for renewal planning,,,mixed,,high,0.87
70,lost,price,,,,strong,true,low,0.4
71,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,high,0.95
72,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,high,0.91
73,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,mixed,false,high,0.39
74,lost,no_decision,,,,mixed,false,medium,0.34
75,won,,Global rollout fit and clear ROI case,,,strong,,medium,0.96
76,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,false,medium,0.91
77,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,unknown,false,medium,0.42
78,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,mixed,true,medium,0.5
79,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,mixed,true,low,0.47
80,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,true,medium,0.45
81,lost,price,,,,weak,false,low,0.53
82,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,weak,true,high,0.37
83,lost,no_decision,,project paused after steering committee could not commit,,unknown,true,high,0.56
84,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,high,0.9
85,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,true,medium,0.87
86,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,mixed,false,medium,0.42
87,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,high,0.88
88,won,,Incumbent relationship and lower switching risk,,,strong,,low,0.94
89,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,high,0.5
90,lost,weak_champion_internal_politics,,,,strong,false,low,0.58
91,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,medium,0.92
92,lost,,,,,weak,false,high,0.31
93,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,high,0.93
94,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,high,0.37
95,lost,no_decision,,,,weak,true,low,0.37
96,lost,competitor,,,,mixed,true,low,0.39
97,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.97
98,won,,Incumbent relationship and lower switching risk,,,strong,true,high,0.95
99,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,false,high,0.96
100,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,medium,0.89
101,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,medium,0.38
102,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.37
103,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.91
104,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,mixed,false,medium,0.41
105,lost,no_decision,,,late-stage decision path remained fuzzy,weak,false,medium,0.36
106,lost,no_decision,,,late-stage decision path remained fuzzy,mixed,false,medium,0.45
107,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,false,high,0.88
108,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.93
109,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,high,0.89
110,lost,competitor,,,late-stage decision path remained fuzzy,strong,true,high,0.57
111,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.89
112,won,,Executive alignment and stronger services plan,,,mixed,false,high,0.87
113,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,unknown,,high,0.91
114,lost,timing,,timeline slipped and rollout moved into next planning cycle,,mixed,false,low,0.5
115,lost,,,,,weak,false,low,0.38
116,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,false,high,0.96
117,lost,,,budget shifted to warehouse modernization workstream,,weak,false,high,0.35
118,lost,competitor,,incumbent competitor kept the global trade team aligned,,mixed,false,low,0.32
119,lost,product_gap,,,,weak,true,low,0.49
120,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,false,high,0.93
121,won,,Best workflow match for cross-border operations,,,strong,false,medium,0.89
122,won,,Executive alignment and stronger services plan,,,strong,,high,0.91
123,won,,Incumbent relationship and lower switching risk,,,weak,,high,0.92
124,won,,Better analytics vision for renewal planning,,,mixed,false,high,0.96
125,lost,price,,,,strong,false,low,0.44
126,lost,,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,weak,false,medium,0.33
127,lost,budget,,,,mixed,false,medium,0.55
128,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,mixed,false,medium,0.4
129,lost,,,,late-stage decision path remained fuzzy,mixed,false,medium,0.33
130,lost,,,,,mixed,true,low,0.45
131,lost,competitor,,,,mixed,false,medium,0.54
132,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.37
133,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.9
134,lost,,,budget shifted to warehouse modernization workstream,,unknown,false,high,0.32
135,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,medium,0.49
136,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.88
137,won,,Executive alignment and stronger services plan,,,mixed,,high,0.89
138,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,strong,false,medium,0.57
139,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,low,0.61
140,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,mixed,false,low,0.41
141,won,,Best workflow match for cross-border operations,,,strong,,medium,0.91
142,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,mixed,false,high,0.58
143,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,medium,0.41
144,lost,,,pricing came in above internal threshold after procurement review,,mixed,false,medium,0.51
145,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,high,0.53
146,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,weak,true,low,0.58
147,lost,timing,,,,mixed,false,medium,0.37
148,lost,,,budget shifted to warehouse modernization workstream,,strong,false,low,0.39
149,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,false,high,0.95
150,lost,price,,pricing came in above internal threshold after procurement review,,strong,false,low,0.48
151,lost,price,,pricing came in above internal threshold after procurement review,,unknown,false,high,0.49
152,lost,competitor,,incumbent competitor kept the global trade team aligned,,mixed,false,medium,0.54
153,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.92
154,lost,price,,pricing came in above internal threshold after procurement review,,unknown,true,medium,0.42
155,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,unknown,false,high,0.52
156,lost,price,,,,weak,false,low,0.38
157,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,weak,false,low,0.47
158,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,strong,true,medium,0.59
159,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,mixed,true,low,0.32
160,lost,price,,,,weak,true,low,0.55
161,lost,budget,,,,weak,false,low,0.37
162,lost,timing,,,,weak,false,medium,0.62
163,lost,procurement_legal_friction,,,,weak,false,low,0.38
164,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,true,medium,0.89
165,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,false,high,0.89
166,won,,Best workflow match for cross-border operations,,,strong,,medium,0.89
167,lost,,,,late-stage decision path remained fuzzy,mixed,true,medium,0.42
168,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,medium,0.59
169,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,true,high,0.51
170,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,weak,false,medium,0.45
171,lost,competitor,,,,strong,false,high,0.57
172,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,false,medium,0.92
173,lost,timing,,,,mixed,false,medium,0.49
174,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,mixed,true,low,0.38
175,won,,Global rollout fit and clear ROI case,,,strong,,high,0.92
176,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,unknown,true,low,0.47
177,lost,,,incumbent competitor kept the global trade team aligned,,mixed,false,low,0.31
178,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,high,0.92
179,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,medium,0.93
180,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.9
181,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.88
182,lost,competitor,,,late-stage decision path remained fuzzy,mixed,false,medium,0.56
183,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,low,0.4
184,lost,budget,,,,unknown,false,low,0.55
185,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,low,0.54
186,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.97
187,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,medium,0.89
188,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,high,0.97
189,won,,Better analytics vision for renewal planning,,,strong,false,low,0.89
190,lost,procurement_legal_friction,,,,weak,true,medium,0.41
191,lost,price,,pricing came in above internal threshold after procurement review,,mixed,true,low,0.52
192,lost,price,,,late-stage decision path remained fuzzy,unknown,false,medium,0.56
193,lost,procurement_legal_friction,,,late-stage decision path remained fuzzy,weak,true,low,0.41
194,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,mixed,false,medium,0.43
195,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,false,high,0.94
196,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.95
197,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,true,high,0.88
198,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,high,0.91
199,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,false,high,0.89
200,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,true,medium,0.37
201,lost,,,,,weak,true,low,0.47
202,lost,competitor,,,late-stage decision path remained fuzzy,mixed,true,medium,0.38
203,lost,budget,,,,mixed,false,low,0.48
204,lost,procurement_legal_friction,,,,strong,false,low,0.31
205,won,,Global rollout fit and clear ROI case,,,mixed,,high,0.89
206,lost,budget,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,weak,false,medium,0.52
207,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,medium,0.56
208,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,mixed,false,low,0.54
209,won,,Better analytics vision for renewal planning,,,mixed,,high,0.94
210,lost,weak_champion_internal_politics,,,,weak,false,high,0.48
211,lost,budget,,,,unknown,false,low,0.47
212,lost,competitor,,incumbent competitor kept the global trade team aligned,,strong,false,medium,0.56
213,lost,timing,,timeline slipped and rollout moved into next planning cycle,,mixed,false,low,0.56
214,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,low,0.39
215,lost,,,pricing came in above internal threshold after procurement review,,mixed,false,high,0.5
216,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,false,high,0.91
217,lost,price,,,,mixed,false,medium,0.44
218,lost,weak_champion_internal_politics,,,,weak,false,low,0.54
219,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,unknown,true,high,0.49
220,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,true,low,0.51
221,lost,price,,,,weak,true,low,0.4
222,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,strong,false,medium,0.39
223,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,medium,0.87
224,lost,,,pricing came in above internal threshold after procurement review,,mixed,true,low,0.36
225,lost,no_decision,,,,mixed,false,low,0.42
226,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,medium,0.93
227,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,mixed,false,medium,0.44
228,won,,Incumbent relationship and lower switching risk,,,mixed,,medium,0.93
229,lost,price,,,,mixed,false,low,0.47
230,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,,high,0.96
231,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,medium,0.9
232,lost,weak_champion_internal_politics,,,,weak,false,low,0.47
233,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,high,0.91
234,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,,high,0.95
235,lost,no_decision,,,,weak,false,medium,0.28
236,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.95
237,lost,procurement_legal_friction,,,,mixed,false,low,0.38
238,lost,no_decision,,project paused after steering committee could not commit,,mixed,false,high,0.36
239,won,,Better analytics vision for renewal planning,,,strong,,high,0.92
240,lost,procurement_legal_friction,,,,strong,false,low,0.42
241,lost,,,,,unknown,false,low,0.39
242,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,medium,0.92
243,lost,price,,pricing came in above internal threshold after procurement review,,unknown,true,medium,0.43
244,won,,Better analytics vision for renewal planning,,,strong,,high,0.97
245,won,,Global rollout fit and clear ROI case,,,strong,,medium,0.96
246,won,,Best workflow match for cross-border operations,,,mixed,,medium,0.91
247,lost,,,,,strong,true,high,0.4
248,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.97
249,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,low,0.37
250,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.54
251,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,weak,false,medium,0.6
252,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,medium,0.59
253,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,high,0.94
254,lost,,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,unknown,false,low,0.41
255,lost,competitor,,,,weak,false,low,0.33
256,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,high,0.87
257,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,weak,false,medium,0.41
258,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,true,medium,0.45
259,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,true,low,0.52
260,lost,price,,,,weak,false,low,0.4
261,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,mixed,true,low,0.4
262,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,unknown,true,high,0.58
263,lost,timing,,,,mixed,false,low,0.55
264,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,strong,false,low,0.36
265,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.93
266,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.89
267,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,weak,false,medium,0.43
268,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.43
269,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,medium,0.4
270,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,medium,0.42
271,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,false,medium,0.48
272,lost,timing,,,,mixed,false,high,0.46
273,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,weak,false,low,0.49
274,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,low,0.49
275,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,weak,false,low,0.49
276,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,weak,false,high,0.55
277,lost,price,,pricing came in above internal threshold after procurement review,,unknown,false,high,0.55
278,lost,price,,,late-stage decision path remained fuzzy,unknown,false,low,0.52
279,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,true,medium,0.4
280,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,weak,false,low,0.5
281,lost,,,pricing came in above internal threshold after procurement review,,weak,true,low,0.51
282,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,medium,0.9
283,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,high,0.93
284,won,,Better analytics vision for renewal planning,,,strong,,high,0.89
285,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,true,medium,0.93
286,lost,,,timeline slipped and rollout moved into next planning cycle,,weak,false,low,0.34
287,won,,Executive alignment and stronger services plan,,,mixed,false,high,0.95
288,lost,competitor,,incumbent competitor kept the global trade team aligned,,strong,false,low,0.46
289,lost,price,,,,mixed,false,low,0.44
290,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,weak,false,low,0.4
291,lost,competitor,,,,unknown,false,low,0.48
292,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,medium,0.59
293,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,medium,0.38
294,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,high,0.91
295,won,,Global rollout fit and clear ROI case,,,mixed,,medium,0.91
296,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.89
297,lost,competitor,,incumbent competitor kept the global trade team aligned,,mixed,false,high,0.55
298,lost,budget,,,late-stage decision path remained fuzzy,mixed,false,medium,0.39
299,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,mixed,true,low,0.36
300,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,mixed,false,medium,0.33
301,lost,no_decision,,project paused after steering committee could not commit,,mixed,false,low,0.56
302,lost,competitor,,,late-stage decision path remained fuzzy,unknown,false,high,0.47
303,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,true,low,0.29
304,won,,Better analytics vision for renewal planning,,,mixed,,low,0.93
305,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,,high,0.93
306,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.96
307,lost,price,,pricing came in above internal threshold after procurement review,,strong,false,low,0.51
308,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,low,0.44
309,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,,high,0.92
310,lost,,,timeline slipped and rollout moved into next planning cycle,,strong,false,low,0.32
311,lost,budget,,budget shifted to warehouse modernization workstream,,mixed,false,medium,0.62
312,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,false,medium,0.94
313,lost,budget,,budget shifted to warehouse modernization workstream,,mixed,false,low,0.58
314,lost,budget,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,weak,false,medium,0.53
315,lost,no_decision,,project paused after steering committee could not commit,,weak,false,medium,0.49
316,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,false,high,0.96
317,won,,Executive alignment and stronger services plan,,,strong,,medium,0.87
318,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,,high,0.88
319,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.95
320,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.54
321,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,false,low,0.48
322,won,,Executive alignment and stronger services plan,,,mixed,,medium,0.95
323,lost,competitor,,,,weak,false,low,0.47
324,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,medium,0.61
325,lost,procurement_legal_friction,,,late-stage decision path remained fuzzy,weak,false,low,0.32
326,won,,Best workflow match for cross-border operations,,,strong,,medium,0.88
327,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,unknown,,high,0.91
328,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.92
329,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,medium,0.94
330,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,weak,false,high,0.39
331,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.93
332,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,mixed,false,high,0.35
333,lost,,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,medium,0.41
334,lost,budget,,budget shifted to warehouse modernization workstream,,weak,false,low,0.53
335,won,,Global rollout fit and clear ROI case,,,strong,false,high,0.91
336,won,,Best workflow match for cross-border operations,,,strong,false,high,0.91
337,lost,competitor,,,,mixed,false,high,0.39
338,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,mixed,false,medium,0.39
339,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,high,0.4
340,won,,Global rollout fit and clear ROI case,,,strong,,high,0.88
